공고번호,날짜,발주기관,공고명,1순위업체,투찰금액,투찰률,기초금액
R26BK01691663,2026-09-01,충청남도교육청 충청남도공주교육지원청,공주여자고등학교 공간재구조화 증축 전기공사,주식회사 선우,1194805050,89.469,1340659000
R26BK01700278,2026-09-01,경상북도 영주시,남부농협 인근 공영주차장 기존건축물 철거공사,주식회사 한국환경산업,120805600,90.67,133507000
R26BK01697362,2026-09-01,충청북도 충주시,대소원면 요도천 하상정비,토우산업(주),172390900,90.269,190200000
R26BK01695848,2026-09-01,경상북도,경상북도 농업자원관리원 건립공사(통신),주식회사 이티씨,451529742,90.399,501270000
R26BK01697976,2026-09-01,전남대학교,교육융합관 장애인화장실 설치공사,주식회사 지지테크,31931940,90.264,35586000
R26BK01694499,2026-09-01,경상남도 함양군,서상 소로저수지 제당 안전보강 사업,강성개발 주식회사,251713709,90.512,279620000
R26BK01699296,2026-09-01,서울대학교,서울대학교 건축시설물 유지보수공사(2026년 연간단가 2차),주식회사 알티지종합건설,173623700,90.385,190000000
R26BK01699427,2026-09-01,경기도 김포시,읍면시도 7호선(대능리 581-22) 정비공사,학산건설 주식회사,76006700,90.38,84813000
R26BK01689582,2026-09-01,충청남도교육청 충청남도공주교육지원청,공주여자고등학교 공간재구조화 증축 통신공사,우진전기 주식회사,823625630,90.436,906428000
R26BK01694314,2026-09-01,서울특별시 종로구,인왕어린이집 그린리모델링 공사,재성건설주식회사,127679660,90.316,142021000
R26BK01700323,2026-09-01,경상남도 고성군,장기~장좌간(군도14호선) 도로 확포장공사(철거공사) 견적 제출 공고,대보 주식회사,24700000,90.348,27300000
R26BK01698347,2026-09-01,충청북도 음성군,2026년 아동복지시설 기능보강사업(리모델링 공사)(입찰대행),주식회사 우이건설,67897765,90.619,74346000
R26BK01705917,2026-09-01,한국농어촌공사 충남지역본부 천안지사,병천면 기초생활거점조성사업(2단계) 흡음재 설치공사,이오디자인건축 주식회사,19530000,90.0,
R26BK01694449,2026-09-01,한국농어촌공사 경기지역본부,2026년 스마트팜ICT융복합확산(온실신축)사업 전기공사(김*규 농가),제넥스엔지니어링주식회사,75197800,90.23,83229000
R26BK01692272,2026-09-01,한국농어촌공사 전북지역본부 부안지사,2026년 부안권역(부해수산) 친환경에너지보급사업 설치공사,주식회사 디에스씨앤에스,111257960,89.894,124204000
R26BK01699200,2026-09-01,강원특별자치도 고성군,어천2리 마을안길 아스콘 덧씌우기 공사,(주)류광건설,20838140,90.211,23303000
R26BK01690457,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 통영권역 친환경에너지보급사업 공기열히트펌프 설치공사,주식회사 만보설비,285175790,89.877,317653000
R26BK01695196,2026-09-01,한국농어촌공사 충북지역본부 충주.제천.단양지사,충주 스마트 유기농 감성온실 복합체험공간조성사업 전기공사,서울전기공사,199290118,90.282,219152000
R26BK01694940,2026-09-01,경기도교육청 경기도동두천양주교육지원청,양주고 교사동 옥상방수공사,주식회사 고암엔지니어링,242440030,90.291,268795000
R26BK01670392,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 고성권역 친환경에너지보급사업  공기열히트펌프 설치공사,주식회사 대일열기공사,490505600,89.878,549010000
R26BK01699139,2026-09-01,경기도 동두천시 환경사업소,동두천시 소요생활체육공원 축구장 인조잔디 교체공사,주식회사 부성토건,56367490,90.263,62279000
R26BK01698607,2026-09-01,경기도 화성시,2026년도 교통사고 잦은 곳 개선사업,주식회사 서영엘엔씨,69120320,90.96,75760000
R26BK01693890,2026-09-01,사회복지법인 계명복지재단 양지노인마을,양지노인마을 피난로 설치 및 외벽마감 일부 교체 공사,(합자)일기업건설,659953900,90.19,729800000
R26BK01698160,2026-09-01,충청남도 부여군 상하수도사업소,2026년 부여군 오수관로 준설공사,에스엠건설(주),84261072,90.03,93600000
R26BK01695207,2026-09-01,강원특별자치도교육청 강원특별자치도태백교육지원청,2026년 하반기 태백 관내학교 수목 전정 공사,주식회사 대자연,28472000,89.981,31452000
R26BK01692106,2026-09-01,한국농어촌공사 전북지역본부 부안지사,2026년 부안권역(해림수산) 친환경에너지보급사업 설치공사,주식회사 진솔이엔지,173395200,89.757,194856000
R26BK01698519,2026-09-01,경상북도 칠곡군,칠곡시니어클럽 기능보강공사,무림토건(주),60473900,90.309,66504000
R26BK01696205,2026-09-01,충청남도 부여군,청동천 개선복구사업,주식회사  신기토건,4750482000,89.634,5259040000
R26BK01697943,2026-09-01,경북 문경시산림조합,2026년 조림지 가꾸기 (1년차) 2차사업(가은외지구),주식회사 산들,36795000,90.673,40656000
R26BK01700091,2026-09-01,울산광역시,언양수질개선사업소 중계펌프장 수중오수펌프 정비 공사,주식회사 우창이엔씨,83757234,90.043,92950000
R26BK01696018,2026-09-01,부산광역시,부산반다비 체육센터 건립사업 정보통신공사,주식회사 해천,253447000,90.449,275974000
R26BK01699001,2026-09-01,경기도 남양주시 공원녹지관리사업소,2026년 소하천 유지관리사업(단가계약)-2차 2권역,인광건설(주),42351346,90.306,47498000
R26BK01700017,2026-09-01,경상남도 고성군,장기~장좌간(군도14호선) 도로 확포장공사(지정폐기물 처리공사),주식회사 에코빌더스,54664000,89.791,60800000
R26BK01695609,2026-09-01,전북특별자치도교육청 배영고등학교,배영고등학교 기숙사 전면보수 기계설비 공사,(유)하나엔지니어링,533039050,90.239,594448000
R26BK01690508,2026-09-01,경상남도 창원시,노후 농업용관정 유지보수 공사,주식회사 바로엔지니어링,24420000,90.291,27300000
R26BK01695899,2026-09-01,경상북도,경상북도 농업자원관리원 건립공사(소방),주식회사 금호이엔씨,671544910,90.375,734626000
R26BK01696247,2026-09-01,충청남도교육청 충청남도태안교육지원청,태안고등학교 햇빛이음 태양광발전 전기공사,주식회사펄스원링크,46744365,90.202,51917000
R26BK01698000,2026-09-01,경북 문경시산림조합,"2026년 조림지 가꾸기 (1년차,덩굴제거) 2차사업 (산북외지구)",주식회사 한솔산림,57185470,90.039,64108000
R26BK01690493,2026-09-01,한국농어촌공사 경남지역본부 고성.통영.거제지사,2026년 통영권역 친환경에너지보급사업 해수열히트펌프 설치공사,구동이엔지 주식회사,790490860,89.867,873613000
R26BK01698747,2026-09-01,경상북도 김천시,교통신호등 개선 공사(대곡동 파워마트앞 교차로),주식회사 우성전기소방,81067650,89.893,91000000
R26BK01697517,2026-09-01,경기도 수원시,버드내도서관 열람실 등 노후 조명 교체공사,세현전기,40565950,89.934,45402000
R26BK01699611,2026-09-01,인천광역시 경제자유구역청,인천글로벌캠퍼스 노후 기계설비 교체공사(5차년도),유명이엔지주식회사,186547650,90.415,209266200
R26BK01699456,2026-09-01,충청북도 진천군,진천 사곡리 마애여래입상 보존처리사업[긴급],해동문화유산,218970000,90.391,242000000
R26BK01692089,2026-09-01,대전광역시,"소호배수지 신설공사(전기, 계측)",이아이테크,192915450,90.337,214400000
R26BK01699513,2026-09-01,강원특별자치도 태백시,2026년 철암동 맨발걷기 숲길 정비사업,주식회사 우현토건,99075000,90.198,109144000
R26BK01698026,2026-09-01,경기도 김포시,2026년 하반기 중부권역 수목관리 연간단가공사,온그린 주식회사,81335639,90.281,90000000
R26BK01699870,2026-09-01,대구광역시 시설안전관리사업소,소액수의 견적제출 공고[2026년도 금호강 2권역 2차 예초공사],주식회사 해솔조경,80320221,89.883,89450000
R26BK01699983,2026-09-01,제주특별자치도,서귀포시 동홍동 빈집 리모델링 공사,거원디자인 주식회사,46954260,89.94,51784700
R26BK01691188,2026-09-01,한국농어촌공사 전남지역본부 목포.무안.신안지사,2026년 무안군 일로권역 백련1외3지구 친환경에너지보급사업(공기열) 기계설비공사,(주)제일이엔지,758824577,89.995,854394900
R26BK01698861,2026-09-01,강원특별자치도 춘천시,소양로3가 급경사지 옹벽 안전보강 및 정비 공사,(주)제이씨씨건설,60173044,90.863,66670000
R26BK01695410,2026-09-01,전북특별자치도교육청 배영고등학교,배영고등학교 기숙사 전면보수 소방 공사,(유)신성소방,33918330,90.336,37603000
R26BK01695364,2026-09-01,경기도 안산시,수변공원 환경개선사업(전기),대보건설 주식회사,101598078,90.355,113201000
R26BK01699724,2026-09-01,울산광역시,해상ICT성능검증지원센터 부대공사(토목),우경건설(주),75456070,90.256,83500000
R26BK01698320,2026-09-01,경상북도 울릉군,보건의료원 응급실 환경개선 공사(통신),주식회사 한명아이씨티,104008170,90.734,115395000
R26BK01695497,2026-09-01,강원특별자치도교육청 강원특별자치도태백교육지원청,태백라온학교 라온휴게실 외벽개선공사,주식회사 금광,97843000,90.673,107961000
R26BK01698730,2026-09-01,경상북도 김천시,위량초 통학로 교통환경 개선사업,주식회사 영남건설,37100000,90.336,40800000
R26BK01698719,2026-09-01,세종특별자치시시설관리공단,2026년 하반기 세종공동구 구조물 보수공사,(합)대명건설,39248348,90.364,43238000
R26BK01698325,2026-09-01,경상북도 울릉군,보건의료원 응급실 환경개선 공사(소방),이레전기 주식회사,48592470,90.28,53780000
R26BK01699345,2026-09-01,경상북도 청송군,청송시장 그린통합쉼터(버스승강장) 설치공사,주식회사 덕승,78923004,90.565,88385000
R26BK01699422,2026-09-01,전남광주통합특별시교육청 광주청사,광주체육고 본관동 맘편한 화장실 조성 기계설비공사 수의계약 안내공고,주식회사 삼성이앤에스,120162753,90.294,132073000
R26BK01698268,2026-09-01,대전광역시교육청,신탄진고 체육관동 교육환경개선 기타 전기공사 수의계약 견적제출 안내공고,주식회사 삼삼전기,30423555,90.254,34012000
R26BK01696224,2026-09-01,강원특별자치도교육청 전인고등학교,전인고 기숙사 스프링클러 설치 전기공사,(주)정해전기,52679180,90.455,57328000
R26BK01697020,2026-09-01,경기도교육청 경기도성남교육지원청,상원초 온동네 돌봄교육센터 리모델링 통신공사,주식회사 광신전설,107169730,90.254,118472000
R26BK01697301,2026-09-01,경기도교육청 경기도성남교육지원청,상원초 온동네 돌봄교육센터 리모델링 소방공사,주식회사 대한전기,9392087,90.183,10382000
R26BK01700245,2026-09-01,경상북도 영주시,풍기선비골인삼시장 노후 수전설비 교체공사,(주)대일전력,62256800,90.129,69800000
R26BK01698475,2026-09-01,김천시산림조합,2026년 덩굴제거사업(구성용호지구),삼성산림 주식회사,58767000,90.134,65054000
R26BK01695013,2026-09-01,한국농어촌공사 경기지역본부,이천시 친환경에너지보급사업 기계설비공사,주식회사키온테크,188353181,90.046,209020000
R26BK01697807,2026-09-01,울산광역시 울주군,회야댐 주변 그린공원 조성,미광건설주식회사,30419870,90.116,33910000
R26BK01696411,2026-09-01,경기도 용인시 기흥구,2026년 기흥구 도로변 전정 연간단가공사(전권역-2차),주식회사로운조경,90870000,90.456,100000000
R26BK01698513,2026-09-01,김천시산림조합,2026년 덩굴제거사업(어모중왕지구),주식회사 우리숲,53136500,90.202,58960000
R26BK01698777,2026-09-01,강원특별자치도 춘천시,2026년 자전거도로 정비사업(강촌상상역 일원),주식회사 호호,41922848,90.851,46015000
R26BK01694267,2026-09-01,중소기업은행,하남풍산지점 전체 레이아웃 전기공사,거성일렉콤(주),110830173,90.479,122826000
R26BK01698340,2026-09-01,충청북도 음성군,2025년 과수거점APC지원사업(보완)_회의실 리모델링 전기공사,대성전력,83207022,90.383,92927000
