공고번호,날짜,발주기관,공고명,1순위업체,사업자번호,대표자,투찰금액,투찰률,기초금액,A값,A값적용,예가하한,예가상한,참가업체수
R26BK01619684,2026-07-08,서울특별시 서울시립대학교 산학협력단,SW중심대학 교육환경개선사업 실습공간 구축 공사,더 세움,,,48840000,98.013,,,,,,
R26BK01614079,2026-07-08,제주특별자치도교육청 서귀포시교육지원청,[수의계약 안내공고] 위미중 급식실 환기설비 개선 전기공사,주식회사광덕기업,,,39614500,90.257,,,,,,
R26BK01613375,2026-07-08,강원특별자치도교육청 강원특별자치도강릉교육지원청 경포중학교,경포중학교 비구방지 그물망 교체 공사 수의계약 견적제출 안내공고,(주)삼성EMC,,,56694000,89.911,,,,,,
R26BK01613651,2026-07-08,경상북도 경주시 맑은물사업본부,외동 급수구역 공급체계 개선사업(2단계) 7차,구농개발 주식회사,,,201136447,90.891,,,,,,
R26BK01611731,2026-07-08,경상북도교육청 경상북도포항교육지원청,구룡포초등학교 교사동(C동) 석면해체공사 소액수의 견적제출 공고,주식회사 소정건설,,,87933050,90.265,,,,,,
R26BK01613494,2026-07-08,경상남도 창녕군,대지면 토평천 수변둘레길 경관조명 설치공사,주식회사 영신테크,,,44286207,90.493,,,,,,
R26BK01610620,2026-07-08,충청남도서산교육청 서령중학교,서령중학교 스탠드 시설 개선을 위한 기타 시설 철거 공사,(주)대건환경산업,,,24875700,90.567,,,,,,
R26BK01612687,2026-07-08,강원특별자치도 평창군,평창 종합운동장 관리동 화장실 보수 전기공사,주식회사 세경,,,34723644,90.799,,,,,,
R26BK01610680,2026-07-08,전북특별자치도교육청 전북특별자치도전주교육지원청,전주팔복초 바닥보수 및 기타공사,유한회사 삼진이엔티,,,177665500,90.361,,,,,,
R26BK01613360,2026-07-08,부산대학교,기계기술연구동 등 2개동 노후 분전반 교체 전기공사,(주)대운전기,,,51959939,90.569,,,,,,
R26BK01613141,2026-07-08,충청남도 부여군,백마강 파크골프장 36홀 전기공사,성림전설 주식회사,,,40088400,89.93,,,,,,
R26BK01612528,2026-07-08,충청남도시각장애인복지관,충청남도시각장애인복지관 오수관로 개선 공사,주식회사마루뜰건설,,,57612020,90.144,63680000,,,,,
R26BK01603533,2026-07-08,전북특별자치도교육청 전북특별자치도전주교육지원청,전주용흥중 강당 리모델링 기계설비공사,(유)대영기공,,,74934000,90.177,,,,,,
R26BK01613293,2026-07-08,서울특별시성동교육청 한양초등학교,한양초 5학년 교실 및 복도 환경개선공사(건축),주식회사 월드하우징,,,104136246,89.955,,,,,,
R26BK01610935,2026-07-08,서울특별시교육청 양재고등학교,"양재고등학교 관리실(교장실,행정실,소회의실) 환경개선공사 정정공고",주식회사 소백건장,,,114241209,90.01,,,,,,
R26BK01611688,2026-07-08,경상북도 성주군,경로당 기능보강사업(초전면 월곡2리 달밭),주식회사 일우건설,,,76085714,90.237,,,,,,
R26BK01613409,2026-07-08,전북특별자치도 김제시,공동체활성화 마을만들기 자율개발사업(부량면 제월마을)(입찰대행),주식회사 모아조경,,,195477000,99.037,,,,,,
R26BK01609603,2026-07-08,신성대학,26-1 혁신지원사업 교육환경개선 공사,에스유디자인(주),,,679140000,90.527,,,,,,
R26BK01604538,2026-07-08,전북특별자치도교육청 전북특별자치도장수교육지원청,장계초 바닥보수 및 기타공사,(유)진성이엔씨,,,160319890,90.002,,,,,,
R26BK01610016,2026-07-08,한국농어촌공사 전남지역본부 순천.광양.여수지사,송광면 기초생활거점조성사업 통신공사,(주)시원,,,51317560,90.344,,,,,,
R26BK01546841,2026-07-08,한국지역난방공사 용인지사,2026년 용인지사 열수송시설 유지보수공사,주식회사 케이드이엔씨,,,3996210000,90.103,,,,,,
R26BK01613394,2026-07-08,부산대학교,대학본부 등 2개동 노후 분전반 교체 전기공사,이룸산업개발(주),,,25132118,90.627,,,,,,
R26BK01609571,2026-07-08,조달청 대전지방조달청,합강1초등학교 신축 소방공사,(주)협전사,,,1879259810,89.363,,,,,,
R26BK01612850,2026-07-08,경기도양평교육청 양평중학교,양평중학교 교사동(본관동) 내부 도장 공사,태동건설(주),,,116272000,90.191,,,,,,
R26BK01550123,2026-07-08,한국지역난방공사 수원사업소,2026년 수원.광교지사 열수송시설 유지보수공사,해원산업 주식회사,,,4149555200,90.2,,,,,,
R26BK01617711,2026-07-08,한국농어촌공사 전남지역본부 곡성지사,장선양수장 외 3개소 안전대책시설 설치공사,(주)호연이엔지,,,7840000,89.99,,,,,,
R26BK01612951,2026-07-08,충청남도 태안군,안면연육교 신축이음 보수공사,기동안전 주식회사,,,86387590,90.386,,,,,,
R26BK01609684,2026-07-08,부산광역시교육청 부산광역시남부교육지원청 당감초등학교,당감초등학교 화변기 교체 공사,주식회사 이도이엔지,,,37763627,89.938,,,,,,
R26BK01613514,2026-07-08,전남광주통합특별시 북구,북구청사 우측별관 석면해체공사,주식회사 비케이에스건설,,,71532710,89.95,,,,,,
R26BK01603877,2026-07-08,경기도교육청 경기도광주하남교육지원청,미사초 외 1교 학교 유무선 네트워크 개선 정보통신공사(1권역),주식회사 휴텍이앤이,,,326638200,90.388,,,,,,
R26BK01622132,2026-07-08,한국농어촌공사 경북지역본부 의성.군위지사,벼락지구(저수지준설) 수리시설개보수사업 토목공사,주식회사 라온건설,,,36200000,90.137,,,,,,
R26BK01604153,2026-07-08,충청북도교육청 음성고등학교,음성고 AI 중점학교 융합정보실 구축 공사 수의계약 안내공고,주식회사 우이건설,,,64246342,90.403,71310000,,,,,
R26BK01613791,2026-07-08,경기도 김포시,솔터축구장 LED광고판 설치 공사,주식회사 서 영,,,253656650,89.964,,,,,,
R26BK01613819,2026-07-08,경상남도 의령군,덕교2지구 급경사지 붕괴위험지역 정비사업,주식회사 해든이앤씨,,,368369150,91.707,,,,,,
R26BK01600761,2026-07-08,경찰청 경기도남부경찰청,경기남부경찰청 노후전력시설물 교체 공사(전기),조은전력주식회사,,,43933680,89.964,,,,,,
R26BK01549610,2026-07-08,한국지역난방공사 고양사업소,2026년 고양사업소 열수송시설 유지보수공사,(주)지성엔지니어링,,,4930727030,90.016,,,,,,
R26BK01608801,2026-07-08,울산과학대학산학협력단,(RISE-이월)서부캠퍼스 늘봄 교육장 교육환경 개선 공사,(주) 동우종합건설,,,21700000,79.308,27480000,,,,,
R26BK01547038,2026-07-08,한국지역난방공사 서울중앙지사,2026년 중앙지사 열수송시설 유지보수공사,다림건설(주),,,4861257500,90.191,,,,,,
R26BK01614074,2026-07-08,충청북도 청주시,민방위 비상급수시설 설치,주식회사충보건설,,,83658220,90.246,,,,,,
R26BK01622107,2026-07-08,서울특별시 서울아리수본부 암사아리수정수센터,구내식당 리모델링 소방공사,삼성소방건설(주),,,11871000,92.783,,,,,,
R26BK01612038,2026-07-07,국토교통부 대전지방국토관리청 논산국토관리사무소,2026년 논산국토 관내(공주 우성 방문 등 20개소) 배수시설 정비공사,주식회사 새한건설,,,809509000,91.537,,,,,,
R26BK01611036,2026-07-08,고양도시관리공사,화정역 환승 지하주차장 균열 보수 공사,주식회사 신우건설,,,73118406,90.277,,,,,,
R26BK01595188,2026-07-08,인하대학교 산학협력단,[이차전지사업]2남관 229호 공과대학 첨단강의실 조성 공사(건축),주식회사 거한건설,,,34100000,64.339,,,,,,
R26BK01614494,2026-07-08,강원특별자치도 양구군,마을간 교통네트워크 연결사업(세차장 및 정비고) 토목공사,(주)대영,,,111771640,90.238,,,,,,
R26BK01612386,2026-07-08,서천군산림조합,2026년 조림지 사후관리 2차,주식회사 산림앤숲,,,73898000,90.303,,,,,,
R26BK01611321,2026-07-08,대구광역시교육청 대구광역시달성교육지원청,경서중학교 외1교(화남초) 동파방지열선 기계설비공사,태흥산업,,,19233450,90.317,,,,,,
R26BK01614587,2026-07-08,경상남도 하동군,횡천 전대(안양골) 안길 보강공사,태진건설 주식회사,,,27428273,90.313,,,,,,
R26BK01611647,2026-07-08,울산광역시 울주군,서생 마근마을안길 개설공사,티에프건설 주식회사,,,95687000,90.624,,,,,,
R26BK01600575,2026-07-08,서울대학교 사범대학 부설초등학교,서울대학교 사범대학 부설초등학교 본관동 외벽 방수 공사,아우린 주식회사,,,258616250,90.099,,,,,,
R26BK01612305,2026-07-08,서천군산림조합,2026년 조림지 풀베기 2차(3-1지구),주식회사 산림앤숲,,,61432340,89.918,,,,,,
R26BK01614225,2026-07-08,충청남도 금산군,2026년 지방하천(유등천) 퇴적토 제거사업,주식회사원탑건설,,,112671450,90.456,,,,,,
R26BK01613556,2026-07-08,경기도 김포시,호수마을 어린이집 리모델링 공사(건축),주식회사 드윈,,,61485470,89.975,,,,,,
R26BK01540281,2026-07-08,조달청 대전지방조달청,자왕지구 배수개선사업 토목공사,(주)신동양건설,,,6777346000,88.862,,,,,,
R26BK01602704,2026-07-08,조달청 광주지방조달청,세지농협 APC 신축공사(전기),주식회사 유민전력산업,,,593633815,90.323,,,,,,
R26BK01613623,2026-07-08,전남광주통합특별시 화순군,도암 면도101호선(왕정~행산) 확포장공사,합자회사 성화종합건설,,,332929600,90.655,,,,,,
R26BK01614196,2026-07-08,강원특별자치도교육청 강원특별자치도원주교육지원청,둔둔초 외부환경 개선공사,주식회사 미광개발,,,62402000,90.986,,,,,,
R26BK01614585,2026-07-08,강원도 고성군산림조합,2026년 조림지 풀베기사업(2-1지구),주식회사 노엘,,,105264400,90.766,,,,,,
